,card_number,expiry_date,card_provider,date_payment_confirmed
3794,639000371612,02/25,Maestro,1994-06-15
3795,376135828261784,01/28,American Express,2011-06-10
3796,3549894995927110,09/25,JCB 16 digit,1994-08-20
3797,4867081690891,02/32,VISA 13 digit,1999-12-29
3798,213157279879085,02/31,JCB 15 digit,2018-01-27
3799,2223862342483780,06/32,Mastercard,2006-11-18
3800,6522372948574630,01/23,Discover,1999-10-07
3801,2375899354227590,04/28,Mastercard,2009-08-12
3802,2560078452809280,04/28,Mastercard,2010-12-13
3803,347662880288674,11/30,American Express,2005-12-03
3804,4315571387863680,06/30,VISA 16 digit,2017-08-23
3805,6531426984377240,08/27,Discover,1999-05-03
3806,4984579572514080,05/29,VISA 16 digit,2007-10-15
3808,567777310036,03/32,Maestro,1999-09-06
3809,567017535814,07/29,Maestro,2010-02-05
3810,347737319303177,07/29,American Express,2020-04-28
3811,371811288786289,04/30,American Express,1997-04-16
3812,180063994834851,11/29,JCB 15 digit,2016-09-08
3813,4910224547608600,06/24,VISA 16 digit,2015-05-19
3814,4830639862545,03/32,VISA 13 digit,2017-07-04
3815,2250831979709890,07/27,Mastercard,2012-01-26
3816,502096791301,05/31,Maestro,1994-03-06
3817,4517993456460880,12/29,VISA 16 digit,2008-08-01
3818,2291040652268510,06/27,Mastercard,2018-10-24
3819,30438415964085,08/24,Diners Club / Carte Blanche,1994-09-12
3820,4374898392952420,10/26,VISA 16 digit,2003-08-31
3821,38743061342581,03/30,Diners Club / Carte Blanche,2012-05-13
3822,4126614448085600,08/29,VISA 16 digit,1995-04-24
3823,30264670759782,10/29,Diners Club / Carte Blanche,2015-04-19
3824,378773675847079,12/25,American Express,2011-09-18
3825,6011787897427190,12/26,Discover,2013-01-02
3826,3535884825928510,04/27,JCB 16 digit,1994-02-14
3827,2224807269552110,07/31,Mastercard,2002-08-19
3828,2296336900459100,06/25,Mastercard,2015-08-06
3829,3503792019472010,02/30,JCB 16 digit,1998-08-15
3830,4135269181517,06/30,VISA 13 digit,2003-10-08
3831,180077602574741,08/24,JCB 15 digit,1999-07-24
3832,3549237536595880,07/29,JCB 16 digit,2009-04-27
3833,6580908091975910,06/29,Discover,2000-10-15
3834,2720932136730490,01/24,Mastercard,2001-02-12
3835,60444438257,08/24,Maestro,2015-10-10
3836,3551997779753170,07/24,JCB 16 digit,2001-05-01
3837,4611888355814850,08/24,VISA 16 digit,2010-11-04
3838,639068318992,10/23,Maestro,2002-02-21
3839,4247152393000100,07/23,VISA 16 digit,2000-09-11
3840,30043643161478,09/24,Diners Club / Carte Blanche,2013-01-07
3841,4233270283456330000,12/23,VISA 19 digit,2016-10-01
3842,4636901514366600,07/31,VISA 16 digit,2003-04-19
3843,4206713425493,07/26,VISA 13 digit,2018-01-15
3844,4891979898171140000,07/25,VISA 19 digit,2008-12-29
3845,4555054966284150000,10/24,VISA 19 digit,2022-09-27
3846,348420882670327,02/27,American Express,2009-08-08
3847,3573642834768770,11/29,JCB 16 digit,2009-05-02
3848,2720119840455830,03/25,Mastercard,2009-07-01
3849,6505609116720910,02/25,Discover,2011-06-16
3850,3519681906081540,02/32,JCB 16 digit,2011-08-31
3851,4438621563368,09/30,VISA 13 digit,2016-01-25
3852,372620015366300,08/23,American Express,2004-04-17
3853,502028315096,05/29,Maestro,2013-07-22
3854,6581742056366840,03/28,Discover,2010-06-03
3855,4170180419977040,06/28,VISA 16 digit,2021-09-03
3856,639075963277,07/30,Maestro,1994-10-06
3857,4295294440249090000,05/29,VISA 19 digit,2008-08-18
3858,4865388696818870,07/26,VISA 16 digit,2015-03-23
3859,4706449231768710,11/27,VISA 16 digit,2008-04-05
3860,4804845401422,09/30,VISA 13 digit,2015-09-18
3861,4626977541555100,11/28,VISA 16 digit,2016-02-11
3862,377280977062853,07/23,American Express,2018-06-01
3864,4734902975143,09/28,VISA 13 digit,2003-05-06
3865,503834992995,09/26,Maestro,2014-06-23
3866,4144566666659,08/30,VISA 13 digit,2002-07-19
3867,3574713137477840,10/24,JCB 16 digit,2005-07-29
3868,4245219396068230,05/32,VISA 16 digit,2014-12-08
3869,38292715676580,04/26,Diners Club / Carte Blanche,1998-04-10
3870,3519846076808650,09/25,JCB 16 digit,2013-02-09
3871,3510563310159070,09/26,JCB 16 digit,2014-05-13
3872,4790646949430,04/24,VISA 13 digit,2003-04-06
3873,180007595436384,06/23,JCB 15 digit,2005-10-07
3874,5211726439571610,08/27,Mastercard,2019-09-11
3875,4968839377745300,05/25,VISA 16 digit,1994-10-14
3876,4875003008219060,04/24,VISA 16 digit,2001-05-08
3877,4400104109952,06/27,VISA 13 digit,2020-05-12
3878,3592676364155010,09/32,JCB 16 digit,2013-07-16
3879,3587417785934980,08/27,JCB 16 digit,2016-09-24
3880,4984149213957960000,09/32,VISA 19 digit,2016-09-10
3881,4428845861612490,02/26,VISA 16 digit,1995-06-14
3882,4064735857858,01/30,VISA 13 digit,1999-04-29
3883,2713337785707060,03/27,Mastercard,2018-09-16
3884,6572721348750580,12/30,Discover,1993-02-10
3885,2226718981925560,04/28,Mastercard,2015-11-28
3886,2295021050636040,08/25,Mastercard,2022-05-20
3887,570642899555,07/27,Maestro,1999-10-11
3888,374414093739663,02/29,American Express,2021-02-06
3889,4354252085078,03/29,VISA 13 digit,1993-05-25
3890,4887626612325,08/27,VISA 13 digit,1999-05-07
3891,4394657559905,11/25,VISA 13 digit,2017-02-25
3892,2271213513662850,05/26,Mastercard,2007-02-11
3893,213129742559057,08/30,JCB 15 digit,2011-12-04
3894,3501932972355090,12/30,JCB 16 digit,2001-09-28
3895,2260418415213610,09/30,Mastercard,2015-08-11
3896,213160360294024,05/25,JCB 15 digit,2009-12-09
3897,4889105593927,03/29,VISA 13 digit,2004-05-05
3898,6576481244365750,01/27,Discover,2000-06-11
3899,3507184450679970,05/28,JCB 16 digit,2012-12-14
3900,676348129153,10/24,Maestro,2002-03-11
3901,4844759105783680,12/31,VISA 16 digit,2022-04-03
3902,4109126707561110000,02/25,VISA 19 digit,2022-01-08
3903,4184474282793,08/24,VISA 13 digit,1994-11-30
3904,4413260335284870,03/26,VISA 16 digit,2006-07-17
3905,3571568682494990,11/31,JCB 16 digit,2018-06-09
3906,4213322608279,12/25,VISA 13 digit,1998-09-27
3907,6011992674699830,08/25,Discover,1995-12-02
3908,6528828802333360,05/28,Discover,2012-06-13
3909,30192089388192,06/29,Diners Club / Carte Blanche,1993-09-25
3910,4119956411685400000,11/26,VISA 19 digit,2019-03-11
3911,4102595063465470,03/26,VISA 16 digit,1993-01-23
3912,4076107571789470000,06/28,VISA 19 digit,1995-11-19
3913,4966707793582,08/29,VISA 13 digit,1996-07-23
3914,180027747512494,03/29,JCB 15 digit,2011-12-10
3915,4100656322161660000,01/25,VISA 19 digit,1996-03-10
3916,3538668919852630,09/26,JCB 16 digit,2010-04-05
3917,30463449611833,04/30,Diners Club / Carte Blanche,2002-06-02
3918,4247226214561600,04/23,VISA 16 digit,2007-02-08
3920,4535656007655310000,12/28,VISA 19 digit,1999-04-05
3921,180023366651085,09/25,JCB 15 digit,2018-09-01
3922,4864701568761140,04/26,VISA 16 digit,2020-01-25
3923,30388126835894,04/30,Diners Club / Carte Blanche,2000-06-18
3924,3572133550541320,04/24,JCB 16 digit,1998-11-04
3925,6590578701553910,05/26,Discover,1995-11-24
3926,213153741222848,08/24,JCB 15 digit,2006-04-13
3927,4746758522449640000,04/31,VISA 19 digit,2000-08-02
3928,3570676694861340,01/28,JCB 16 digit,2017-11-26
3929,502053375486,07/28,Maestro,2008-12-30
3930,4929420837977660,12/23,VISA 16 digit,1999-09-14
3931,340754200591213,10/28,American Express,1998-11-20
3932,2231953689499150,05/24,Mastercard,2005-04-01
3933,30192186625975,01/24,Diners Club / Carte Blanche,1994-09-18
3934,4853697564841690,09/29,VISA 16 digit,1994-11-18
3935,501833762617,01/29,Maestro,1993-02-24
3936,4295844328951890000,12/23,VISA 19 digit,2006-06-22
3937,343675864320473,09/29,American Express,2019-04-25
3938,3523874105748400,06/24,JCB 16 digit,1994-07-13
3939,4655237304485520,09/29,VISA 16 digit,2002-03-13
3940,4370122907526140,01/32,VISA 16 digit,2009-10-27
3941,5306213727435820,01/24,Mastercard,1998-04-04
3942,4345917596642070000,06/31,VISA 19 digit,2019-08-22
3943,4591963157619,11/30,VISA 13 digit,2011-11-03
3944,4039485532099770,01/24,VISA 16 digit,1994-03-16
3945,3585492169464760,08/28,JCB 16 digit,2015-05-08
3946,6011873427296580,10/26,Discover,2011-04-13
3947,213191571325059,07/27,JCB 15 digit,1997-08-24
3948,4170914318638090,09/26,VISA 16 digit,1997-11-10
3949,4003129601266,08/26,VISA 13 digit,1996-08-22
3950,4889318358585380,02/29,VISA 16 digit,2000-01-08
3951,4545980824998820000,09/26,VISA 19 digit,1994-05-29
3952,4402712560878020,04/30,VISA 16 digit,2000-04-03
3953,503876991657,02/32,Maestro,2020-11-25
3954,676176418298,03/26,Maestro,2014-08-18
3955,4978975696292840000,09/24,VISA 19 digit,2022-08-03
3956,3548175671179340,07/28,JCB 16 digit,2007-11-18
3957,4636770627572760000,06/31,VISA 19 digit,2015-03-07
3958,3563348051217840,11/27,JCB 16 digit,2012-07-21
3959,36163378727360,02/23,Diners Club / Carte Blanche,2015-07-13
3960,639033581112,07/32,Maestro,1993-03-08
3961,60408314114,04/26,Maestro,2002-07-08
3962,2642683263777920,06/31,Mastercard,2005-06-08
3963,3569543496290570,06/30,JCB 16 digit,2021-04-05
3964,6011837001321970,06/27,Discover,1997-08-19
3965,2249847347147890,10/26,Mastercard,2007-05-06
3966,639064182350,03/27,Maestro,2015-05-28
3967,379354674359405,01/23,American Express,1994-08-29
3968,4713902742645840000,01/26,VISA 19 digit,1999-03-12
3969,6011197570544840,09/28,Discover,1994-08-04
3970,3565835831789270,03/26,JCB 16 digit,2018-07-09
3971,30340242846297,02/29,Diners Club / Carte Blanche,2010-09-08
3972,3591799349676660,03/32,JCB 16 digit,1994-07-28
3973,30220383588579,05/25,Diners Club / Carte Blanche,2022-06-29
3974,379330895148314,04/31,American Express,1999-05-20
3976,4914043504245480,03/26,VISA 16 digit,1995-11-15
3977,4231217906410820000,06/27,VISA 19 digit,2016-11-06
3978,30058772999449,11/29,Diners Club / Carte Blanche,2018-10-08
3979,4994472337997,04/26,VISA 13 digit,2022-06-24
3980,6011442047577220,08/25,Discover,2002-10-09
3981,675945186210,10/26,Maestro,1997-11-16
3982,566054512785,12/27,Maestro,2011-01-31
3983,2223830687211870,11/29,Mastercard,2011-05-19
3984,30100411636949,08/27,Diners Club / Carte Blanche,2018-07-01
3985,4170854765350040,08/24,VISA 16 digit,2010-09-21
3986,213185671855106,05/30,JCB 15 digit,2007-03-01
3987,378885362679639,04/23,American Express,2016-10-14
3988,30189900750428,05/28,Diners Club / Carte Blanche,1995-08-07
3989,3525866273454000,03/24,JCB 16 digit,2021-12-17
3990,3563859668104280,08/28,JCB 16 digit,2000-02-24
3991,4060794692667110,01/31,VISA 16 digit,2013-03-19
3992,374234434757251,02/29,American Express,2011-11-01
3993,6541647838128770,03/29,Discover,1999-12-27
3994,4508409001086,06/32,VISA 13 digit,2000-11-02
3995,3501784474973710,04/29,JCB 16 digit,2002-01-13
3996,213137766754579,07/31,JCB 15 digit,2003-02-20
3997,30573494007586,10/23,Diners Club / Carte Blanche,2004-03-16
3998,675910324135,07/31,Maestro,2020-01-03
3999,4081607659854370,04/24,VISA 16 digit,1995-11-18
4000,6538941208698040,01/24,Discover,2002-02-02
4001,213199641151249,12/24,JCB 15 digit,2022-09-03
4002,6507502050366140,11/31,Discover,2003-10-24
4003,4017713002368,09/29,VISA 13 digit,2014-05-08
4004,4951415270008960,10/30,VISA 16 digit,2007-02-06
4005,30054063232079,12/23,Diners Club / Carte Blanche,2004-09-14
4006,30020751574577,04/28,Diners Club / Carte Blanche,2022-08-07
4007,4038632458982450,03/23,VISA 16 digit,2019-12-02
4008,6562671404607820,12/29,Discover,2021-12-19
4009,6522635377236070,02/27,Discover,2010-04-30
4010,3563536027571890,03/24,JCB 16 digit,2000-09-01
4011,30009004409731,10/30,Diners Club / Carte Blanche,2009-06-02
4012,4014672412880600,11/24,VISA 16 digit,2015-05-12
4013,180055381220124,04/23,JCB 15 digit,2010-04-05
4014,3559497066608430,12/22,JCB 16 digit,2020-12-05
4015,3554227340148580,09/28,JCB 16 digit,2018-06-26
4016,60450831965,10/30,Maestro,2003-03-29
4017,379884599664216,05/23,American Express,1996-02-02
4018,180012526019101,09/29,JCB 15 digit,2013-12-31
4019,4497395211778,11/31,VISA 13 digit,2020-11-17
4020,4020220384295,02/24,VISA 13 digit,1999-10-28
4021,4503109820460960000,07/24,VISA 19 digit,1997-06-15
4022,5330448564803110,07/31,Mastercard,2016-03-09
4023,4029667814918430000,09/32,VISA 19 digit,1995-11-05
4024,180086525486685,06/28,JCB 15 digit,2022-06-02
4025,4143025963210,11/28,VISA 13 digit,2007-09-01
4026,6011436601683810,05/32,Discover,2005-05-07
4027,375823101569640,03/31,American Express,2006-06-20
4028,3582013466866980,11/29,JCB 16 digit,2008-01-17
4029,4232284212765000,04/28,VISA 16 digit,1994-10-26
4030,213110330842873,05/32,JCB 15 digit,2008-02-05
4032,342661702409562,04/24,American Express,2019-11-22
4033,4321125968163670000,06/30,VISA 19 digit,2017-06-15
4034,213108054599190,11/26,JCB 15 digit,2008-02-24
4035,4291908208821150000,02/24,VISA 19 digit,2007-07-30
4036,639027603484,09/29,Maestro,2006-02-12
4037,3526078194366560,07/29,JCB 16 digit,2003-03-19
4038,6011910879062260,10/25,Discover,2005-02-24
4039,4196382596196940,07/28,VISA 16 digit,2016-02-11
4040,4052830766167840000,12/26,VISA 19 digit,1999-09-14
4041,4864677918782860,05/31,VISA 16 digit,2005-12-17
4042,345883375323329,06/25,American Express,2017-04-13
4043,4897443745855250,10/25,VISA 16 digit,1999-01-04
4044,180018494703881,06/26,JCB 15 digit,2003-04-28
4045,4566094749948,12/30,VISA 13 digit,1995-10-26
4046,38033523444583,09/26,Diners Club / Carte Blanche,2011-01-30
4047,4433275836834670000,12/27,VISA 19 digit,2014-06-12
4048,213152126583667,01/31,JCB 15 digit,2005-09-15
4049,4290547452621980,02/28,VISA 16 digit,2008-04-03
4050,3512412617456280,05/25,JCB 16 digit,2009-06-30
4051,4722975902326,12/31,VISA 13 digit,1998-06-26
4052,213132945084071,12/27,JCB 15 digit,1998-12-03
4053,3531810685907300,10/23,JCB 16 digit,2014-03-14
4054,502064114023,05/32,Maestro,1999-03-05
4055,4063106051053830,09/24,VISA 16 digit,2006-03-23
4056,4941969456955500,06/25,VISA 16 digit,2020-05-23
4057,180081858022454,06/23,JCB 15 digit,2010-03-18
4058,213184335995994,07/26,JCB 15 digit,1995-02-04
4059,6011983093777360,08/23,Discover,2005-04-13
4060,372365988040256,01/27,American Express,1995-05-17
4061,30207621105506,11/23,Diners Club / Carte Blanche,2007-08-12
4062,374007060819920,11/23,American Express,2001-05-08
4063,2228508884897520,11/23,Mastercard,1995-01-01
4064,348569782417286,12/24,American Express,2008-01-28
4065,180073550520885,04/31,JCB 15 digit,2001-10-20
4066,30332642343959,07/31,Diners Club / Carte Blanche,2020-11-26
4067,4409985058319730,05/29,VISA 16 digit,2012-09-28
4068,6011278392557360,11/28,Discover,2005-10-12
4069,36199694951656,03/27,Diners Club / Carte Blanche,2010-12-20
4070,4088579152672320,09/24,VISA 16 digit,1996-08-29
4071,180025559928634,03/30,JCB 15 digit,2009-03-30
4072,4855840637519,09/23,VISA 13 digit,2003-02-21
4073,4572802318347400,10/30,VISA 16 digit,1998-10-25
4074,30558484870978,10/31,Diners Club / Carte Blanche,1993-11-06
4075,4863373715900,02/30,VISA 13 digit,2008-11-07
4076,574792719779,01/31,Maestro,2004-05-10
4077,4208503194681860000,11/28,VISA 19 digit,2014-10-29
4078,4627757491693660,12/25,VISA 16 digit,2015-09-18
4079,6567818277798370,11/29,Discover,2015-02-04
4080,503882285854,05/25,Maestro,2005-06-21
4081,3548479465393380,12/31,JCB 16 digit,2020-11-02
4082,4948707886947,11/22,VISA 13 digit,2004-09-11
4083,30343207292648,06/30,Diners Club / Carte Blanche,2009-01-15
4084,4586176747974,04/28,VISA 13 digit,1996-09-25
4085,373612129598018,03/27,American Express,2015-09-06
4086,372286738827604,04/32,American Express,2002-08-29
4088,501880333734,02/28,Maestro,2002-06-30
4089,4884201224234860,01/31,VISA 16 digit,1996-05-17
4090,30259414882312,09/28,Diners Club / Carte Blanche,1993-02-12
4091,3576559391789690,11/29,JCB 16 digit,2005-08-23
4092,4091071389218340,12/30,VISA 16 digit,2010-12-31
4093,3538119513358480,04/25,JCB 16 digit,2010-03-05
4094,4058410311130590000,10/32,VISA 19 digit,2012-06-11
4095,561204591086,05/24,Maestro,2000-09-26
4096,4475478511793,03/25,VISA 13 digit,1992-12-11
4097,577324991758,02/24,Maestro,2006-08-12
4098,4968257736750940000,09/32,VISA 19 digit,2004-10-20
4099,4667744164718,05/28,VISA 13 digit,2008-12-19
4100,347035720774940,04/30,American Express,2007-08-02
4101,4395378955073370,07/28,VISA 16 digit,1994-01-08
4102,2282273096409890,09/31,Mastercard,1999-11-16
4103,5481197360907940,09/32,Mastercard,2000-08-01
4104,6011464224231570,10/28,Discover,2009-04-29
4105,4074057167927,03/27,VISA 13 digit,2007-11-19
4106,4506141698697570,02/26,VISA 16 digit,2019-03-22
4107,4659416687233,04/30,VISA 13 digit,2013-07-25
4108,4215633632674,08/24,VISA 13 digit,2008-10-26
4109,3526491635344440,05/23,JCB 16 digit,2001-01-29
4110,6554714883115950,01/25,Discover,1993-02-01
4111,4748507938009,04/23,VISA 13 digit,1995-07-09
4112,30261693255244,08/29,Diners Club / Carte Blanche,1995-08-17
4113,213171657659068,11/22,JCB 15 digit,1995-11-26
4114,60494590908,03/25,Maestro,2004-01-15
4115,604691111,01/28,Maestro,1998-12-25
4116,4804420746650730,05/23,VISA 16 digit,2005-05-13
4117,6554785136940720,01/28,Discover,1994-05-02
4118,4966990849166,07/28,VISA 13 digit,2012-09-23
4119,4431668538609080000,11/32,VISA 19 digit,2019-10-16
4120,503875162623,04/31,Maestro,2014-05-27
4121,503860917890,05/24,Maestro,2002-12-07
4122,377569345601222,02/27,American Express,2015-09-11
4123,213178323346095,02/25,JCB 15 digit,1998-02-24
4124,4555971858617840,07/29,VISA 16 digit,2002-03-18
4125,3538285149723390,07/30,JCB 16 digit,2015-12-23
4126,502087623190,02/26,Maestro,2022-07-19
4127,30002031797947,02/28,Diners Club / Carte Blanche,2018-03-11
4128,6011156753052820,03/31,Discover,2015-09-14
4129,4561510001674170000,02/26,VISA 19 digit,2009-03-15
4130,180098785395944,06/29,JCB 15 digit,1998-12-21
4131,6011110597042000,02/25,Discover,1994-03-29
4132,4899242220602240000,01/28,VISA 19 digit,2019-04-21
4133,4348405013844230,08/32,VISA 16 digit,1999-05-26
4134,4946246552870370,03/29,VISA 16 digit,2021-05-17
4135,503882366555,11/25,Maestro,2012-09-13
4136,374801876062299,12/29,American Express,2004-07-11
4137,6011990677534850,07/29,Discover,2006-03-26
4138,6011706547626130,11/23,Discover,1993-01-14
4139,4701156459965910,03/29,VISA 16 digit,2014-09-20
4140,2720871364921660,09/23,Mastercard,1997-01-01
4141,4973388073297950,12/31,VISA 16 digit,2018-07-07
4142,4248557817886280000,09/30,VISA 19 digit,1996-06-04
4144,4746649918499640000,10/29,VISA 19 digit,2001-07-31
4145,4526636113878390,04/28,VISA 16 digit,2009-07-11
4146,2298410693447230,10/26,Mastercard,2013-04-10
4147,180007858686808,06/23,JCB 15 digit,2019-05-04
4148,213125436902314,02/25,JCB 15 digit,2000-07-16
4149,2252817317429310,04/29,Mastercard,2012-08-25
4150,2251701252019210,02/26,Mastercard,2000-04-29
4151,4682379748644,03/31,VISA 13 digit,1999-02-27
4152,2266529386420710,02/26,Mastercard,2001-07-18
4153,3517603586663650,07/26,JCB 16 digit,2012-08-06
4154,2716801843676140,03/28,Mastercard,2021-12-31
4155,4269663971215120,01/23,VISA 16 digit,2021-10-17
4156,4246219234528,09/29,VISA 13 digit,1993-09-19
4157,4287046228430470,11/28,VISA 16 digit,2015-05-29
4158,4295683144333,12/26,VISA 13 digit,2017-06-28
4159,581076847937,08/28,Maestro,1999-02-04
4160,4558347736673,04/26,VISA 13 digit,1996-03-17
4161,6556512618799280,12/24,Discover,1997-12-05
4162,4977123676376,12/25,VISA 13 digit,2000-12-20
4163,3549114638104810,11/28,JCB 16 digit,2000-07-13
4164,180017876000593,08/28,JCB 15 digit,2007-05-12
4165,4576473251449870,02/27,VISA 16 digit,2012-06-01
4166,4613221915722190000,12/24,VISA 19 digit,2016-01-30
4167,4856706115963300000,12/26,VISA 19 digit,2015-12-14
4168,4816878391342150,05/27,VISA 16 digit,2010-07-08
4169,342825659975046,06/29,American Express,2008-01-18
4170,4394312941100,02/27,VISA 13 digit,2015-11-22
4171,341453513590165,08/28,American Express,2003-09-29
4172,344178379327678,04/24,American Express,2000-12-24
4173,344034019371347,04/28,American Express,2012-12-17
4174,347997389910836,04/23,American Express,2006-04-18
4175,6011819804360440,08/24,Discover,2002-11-05
4176,4256725333815620,10/26,VISA 16 digit,2005-03-02
4177,3575987843843660,10/32,JCB 16 digit,2011-12-28
4178,2284978540624940,05/32,Mastercard,2012-01-23
4179,38587402187217,04/32,Diners Club / Carte Blanche,2020-05-17
4180,6011939354687810,01/32,Discover,1998-06-10
4181,340039842582220,01/23,American Express,2015-10-19
4182,4409532413826730,08/25,VISA 16 digit,2016-09-15
4183,2293833264240990,05/32,Mastercard,2002-12-10
4184,372555027939043,09/25,American Express,2018-08-03
4185,3548611532059790,04/27,JCB 16 digit,2019-11-24
4186,379455739912151,01/23,American Express,2014-03-31
4187,4293252228865800,02/27,VISA 16 digit,2013-01-08
4188,3523531230081810,06/28,JCB 16 digit,1993-11-05
4189,346107221285782,11/28,American Express,2015-08-29
4190,30533422532253,09/30,Diners Club / Carte Blanche,2016-08-11
4191,2257992191180160,07/24,Mastercard,2020-11-19
4192,630470168026,04/31,Maestro,2015-03-05
4193,4871377086624960,11/25,VISA 16 digit,2009-10-27
4194,676274747754,12/30,Maestro,2012-08-13
4195,60481753642,11/27,Maestro,1994-07-17
4196,30232827884662,03/31,Diners Club / Carte Blanche,2019-07-24
4197,30590831978717,08/25,Diners Club / Carte Blanche,2013-07-27
4198,30252851343278,02/25,Diners Club / Carte Blanche,2022-10-25
4200,60458595745,04/31,Maestro,1998-07-10
4201,4895058611095,05/29,VISA 13 digit,2013-06-03
4202,2237189863843710,11/30,Mastercard,2004-12-01
4203,675948287437,04/28,Maestro,2019-10-26
4204,3546133298883250,06/28,JCB 16 digit,1996-11-02
4205,4671865842376790000,02/32,VISA 19 digit,2018-10-01
4206,4041047328069200,08/31,VISA 16 digit,2013-06-25
4207,3538736503465960,12/27,JCB 16 digit,2001-08-27
4208,4388707661530400,06/30,VISA 16 digit,2000-07-06
4209,4843227037738960000,02/29,VISA 19 digit,2020-04-14
4210,3590130009662360,04/25,JCB 16 digit,1993-07-11
4211,4357368366652070,11/26,VISA 16 digit,2018-06-19
4212,4610888655596,10/28,VISA 13 digit,2021-02-23
4213,502083001490,10/24,Maestro,2019-02-25
4214,3586316882285760,10/25,JCB 16 digit,1999-10-01
4215,4274894205674040,07/24,VISA 16 digit,1996-12-16
4216,3546933649575860,11/27,JCB 16 digit,1996-05-12
4217,2712161610711950,12/23,Mastercard,1996-09-18
4218,3539338561089930,05/31,JCB 16 digit,2017-12-03
4219,30028086294829,10/23,Diners Club / Carte Blanche,2017-09-07
4220,348231754459867,10/23,American Express,1998-08-10
4221,6011718720257140,01/26,Discover,1995-04-08
4222,630482136409,08/28,Maestro,2020-08-15
4223,213154838821906,09/24,JCB 15 digit,2015-01-02
4224,4115540839540320,05/27,VISA 16 digit,2005-07-07
4225,2295168021387170,02/24,Mastercard,2011-12-08
4226,3537877327951880,06/29,JCB 16 digit,1997-01-05
4227,2252997834189780,03/26,Mastercard,2013-11-06
4228,2248792478698680,10/32,Mastercard,2021-12-25
4229,180008611648358,01/31,JCB 15 digit,1992-11-23
4230,3589167867137910,09/23,JCB 16 digit,2011-05-24
4231,4560866578437,03/24,VISA 13 digit,2016-05-10
4232,4720514149241900,09/29,VISA 16 digit,2018-01-19
4233,36079721636597,03/23,Diners Club / Carte Blanche,2022-10-04
4234,30103742668367,11/31,Diners Club / Carte Blanche,2016-08-02
4235,343105197022901,01/27,American Express,2017-05-05
4236,4200594855799610,06/27,VISA 16 digit,2013-07-06
4237,30302917773545,03/32,Diners Club / Carte Blanche,2011-04-18
4238,371813726293423,03/31,American Express,1997-10-03
4239,3525751711528050,09/26,JCB 16 digit,2000-11-21
4240,639017737649,05/27,Maestro,2022-03-22
4241,2304989826858430,01/30,Mastercard,1995-12-18
4242,580289903842,11/32,Maestro,2014-01-26
4243,3590160715406470,04/29,JCB 16 digit,2010-03-21
4244,3590914465383790,10/30,JCB 16 digit,1998-03-18
4245,4430201762882,12/27,VISA 13 digit,2002-12-13
4246,180024249963036,12/22,JCB 15 digit,1999-04-18
4247,4271806445535,10/26,VISA 13 digit,1997-05-21
4248,503814175611,07/29,Maestro,2011-01-27
4249,30121984467280,10/27,Diners Club / Carte Blanche,2011-02-19
4250,4382927713907780,12/22,VISA 16 digit,2000-12-19
4251,348094914539311,02/30,American Express,2022-07-06
4252,5515931832065260,03/31,Mastercard,2020-12-31
4253,213111542049695,08/25,JCB 15 digit,1998-10-27
4254,5160820974271110,07/25,Mastercard,1998-09-15
4256,6011036876440620,09/32,Discover,2005-07-18
4257,342417081119649,05/25,American Express,1995-11-01
4258,3547096863061470,03/29,JCB 16 digit,1996-01-12
4259,3538977357550250,08/26,JCB 16 digit,2003-11-13
4260,180050249830123,12/28,JCB 15 digit,1996-07-12
4261,6575138434928450,08/28,Discover,2020-11-07
4262,180057301116499,11/30,JCB 15 digit,2009-12-20
4263,501855542764,07/30,Maestro,2000-07-29
4264,578856259689,11/23,Maestro,1998-08-03
4265,3549015558397180,02/31,JCB 16 digit,2000-04-27
4266,3516253808757020,12/30,JCB 16 digit,2007-09-22
4267,6543590062391780,04/30,Discover,2001-11-12
4268,4933918420207,01/23,VISA 13 digit,1993-07-27
4269,213146876620802,07/29,JCB 15 digit,2016-03-09
4270,676173962538,03/28,Maestro,2022-04-26
4271,347930299729087,03/23,American Express,1997-07-03
4273,347044908689102,02/28,American Express,1999-12-04
4274,639029234510,11/28,Maestro,2005-12-01
4275,676177220818,05/32,Maestro,2020-03-25
4276,4437318005811200,06/25,VISA 16 digit,2017-10-29
4277,560543077963,02/31,Maestro,2017-12-01
4278,378525861105021,07/29,American Express,2005-05-13
4279,3568046196711760,05/25,JCB 16 digit,2011-12-09
4280,3547250342266290,04/29,JCB 16 digit,2004-01-06
4281,6011652526437820,01/25,Discover,2005-10-13
4282,4163664547785,09/27,VISA 13 digit,1999-11-22
4283,344708646107246,09/26,American Express,2020-04-11
4285,4461113557725820,07/27,VISA 16 digit,2000-09-26
4286,4533386614864810000,02/28,VISA 19 digit,1999-09-19
4287,3505903075912290,08/30,JCB 16 digit,2006-01-04
4288,675929507340,03/30,Maestro,2011-05-13
4289,3539141579974750,06/26,JCB 16 digit,2007-07-11
4290,4740074296004170,07/26,VISA 16 digit,2010-06-18
4291,582457332168,01/31,Maestro,1998-04-23
4292,30514060650748,06/27,Diners Club / Carte Blanche,2002-04-06
4293,503817031456,11/28,Maestro,1994-03-17
4294,4081518050956,09/29,VISA 13 digit,2014-12-20
4295,4153576564097700,06/24,VISA 16 digit,1996-03-24
4296,3572338360037250,10/30,JCB 16 digit,1993-03-13
4297,30250394667203,05/27,Diners Club / Carte Blanche,1998-04-29
